dataset,model,method,method_display,iou50_threshold,iou_value_threshold
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,0.2,0.35
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,0.2,0.25
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,0.4,0.45
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,0.0,0.0
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,0.1,0.1
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,0.15,0.3
EtriActivity3D,TANet,SaliencyTubes,SaliencyTubes,0.05,0.15
EtriActivity3D,TANet,AOSA,AOSA,0.15,0.3
EtriActivity3D,TANet,GradCAM,GradCAM,0.1,0.2
Kinetics400,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,0.0,0.15
Kinetics400,TANet,3D-LIME-NEW,3D-LIME,0.0,0.0
Kinetics400,TANet,3D-RISE-NEW,3D-RISE,0.0,0.2
Kinetics400,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,0.0,0.15
Kinetics400,TANet,LV-LOCO-NEW,LV-LOCO,0.0,0.05
Kinetics400,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,0.0,0.0
Kinetics400,TANet,SaliencyTubes,SaliencyTubes,0.0,0.05
Kinetics400,TANet,AOSA,AOSA,0.0,0.0
Kinetics400,TANet,GradCAM,GradCAM,0.0,0.05
